b'2023-05-02 10:20:37.370967    568 .' 
b'2023-05-02 10:20:48.390749    579 .' 
b'2023-05-02 10:21:05.425271    596 ..' 
b'2023-05-02 10:21:11.437745    602 .' 
b'2023-05-02 10:21:12.439410    603 ..' 
b'2023-05-02 10:21:17.450274    608 ..' 
b'2023-05-02 10:21:29.478494    620 .' 
b'2023-05-02 10:21:36.492145    627 ..' 
b'2023-05-02 10:21:58.542045    649 ..' 
b'2023-05-02 10:21:59.545462    650 ..' 
b'2023-05-02 10:22:04.556681    655 .' 
b'2023-05-02 10:22:08.563922    659 ..' 
b'2023-05-02 10:22:11.573063    662 ..' 
b'2023-05-02 10:22:27.606457    678 .' 
b'2023-05-02 10:22:36.623802    687 ..' 
b'2023-05-02 10:22:37.625436    688 .' 
b'2023-05-02 10:22:45.643116    696 ..' 
b'2023-05-02 10:22:49.649633    700 .' 
b'2023-05-02 10:22:51.653187    702 .' 
b'2023-05-02 10:22:57.664050    708 .' 
b'2023-05-02 10:23:00.671393    711 .' 
b'2023-05-02 10:23:02.677062    713 ..' 
b'2023-05-02 10:23:06.684515    717 ..' 
b'2023-05-02 10:23:07.687081    718 .' 
b'2023-05-02 10:23:11.697940    722 .' 
b'2023-05-02 10:23:12.700204    723 .' 
b'2023-05-02 10:23:26.732595    737 .' 
b'2023-05-02 10:23:40.763892    751 .' 
b'2023-05-02 10:23:44.770673    755 ..' 
b'2023-05-02 10:23:52.790758    763 .' 
b'2023-05-02 10:23:53.793485    764 ..' 
b'2023-05-02 10:23:54.795363    765 ..' 
b'2023-05-02 10:23:55.797368    766 .' 
b'2023-05-02 10:24:05.820002    776 .' 
b'2023-05-02 10:24:13.836488    784 .' 
b'2023-05-02 10:24:16.843766    787 ..' 
b'2023-05-02 10:24:19.850753    790 .' 
b'2023-05-02 10:24:28.869241    799 .' 
b'2023-05-02 10:24:32.877225    803 ..' 
b'2023-05-02 10:24:34.881528    805 ..' 
b'2023-05-02 10:24:38.889365    809 ..' 
b'2023-05-02 10:24:43.899253    814 ..' 
b'2023-05-02 10:24:51.917548    822 .' 
b'2023-05-02 10:24:53.921426    824 .' 
b'2023-05-02 10:24:55.925222    826 .' 
b'2023-05-02 10:24:56.926818    827 .' 
b'2023-05-02 10:24:58.930716    829 ..' 
b'2023-05-02 10:25:04.946475    835 ..' 
b'2023-05-02 10:25:15.976015    846 ..' 
b'2023-05-02 10:25:19.984795    850 .' 
b'2023-05-02 10:25:27.000677    857 .' 
b'2023-05-02 10:25:32.010948    862 ..' 
b'2023-05-02 10:25:33.013459    863 ..' 
b'2023-05-02 10:25:35.017500    865 .' 
b'2023-05-02 10:25:37.020887    867 ..' 
b'2023-05-02 10:25:41.029912    871 .' 
b'2023-05-02 10:25:43.035540    873 ..' 
b'2023-05-02 10:26:00.074272    890 .' 
b'2023-05-02 10:26:07.090551    897 ..' 
b'2023-05-02 10:26:08.093754    898 ..' 
b'2023-05-02 10:26:20.118442    910 .' 
b'2023-05-02 10:26:22.123194    912 .' 
b'2023-05-02 10:26:23.125606    913 ..' 
b'2023-05-02 10:26:25.129590    915 ..' 
b'2023-05-02 10:26:30.137719    920 .' 
b'2023-05-02 10:26:33.143194    923 ..' 
b'2023-05-02 10:26:34.145218    924 ..' 
